#LastName,#FirstName,#Jersey Num,#Position,#Height,#Weight,#Birth Date
Abrines,Alex,8,F,6'6",190,8/1/1993
Acy,Quincy,4,PF,6'7",240,10/6/1990
Adams,Steven,12,C,7'0",255,7/20/1993
Afflalo,Arron,40,SG,6'5",215,10/15/1985
Ajinca,Alexis,42,C,7'2",248,5/6/1988
Aldrich,Cole,45,C,6'11",245,10/31/1988
Aldridge,LaMarcus,12,PF,6'11",240,7/19/1985
Alexander,Cliff,34,PF,6'8",245,11/15/1995
Allen,Lavoy,5,PF,6'9",255,2/4/1989
Allen,Tony,9,SG,6'4",213,1/11/1982
Aminu,Al-Farouq,8,SF,6'9",215,9/21/1990
Andersen,Chris,7,C,6'10",245,7/6/1978
Anderson,Alan,26,SG,6'6",220,10/16/1982
Anderson,James,5,SG,6'6",213,3/25/1989
Anderson,Justin,1,SF,6'6",228,11/18/1993
Anderson,Kyle,1,SF,6'9",230,9/20/1993
Anderson,Ryan,36,PF,6'10",240,5/6/1988
Antetokounmpo,Giannis,34,PG,6'11",222,12/6/1994
Antetokounmpo,Thanasis,43,SF,6'7",205,7/18/1992
Anthony,Carmelo,7,SF,6'8",240,5/29/1984
Anthony,Joel,50,C,6'9",245,8/9/1982
Ariza,Trevor,1,SF,6'8",215,6/30/1985
Arthur,Darrell,0,PF,6'9",235,3/25/1988
Asik,Omer,3,C,7'0",255,7/4/1986
Augustin,D.J.,12,PG,6'0",183,11/10/1987
Ayres,Jeff,19,C,6'9",240,4/29/1987
Babbitt,Luke,5,SF,6'9",217,6/20/1989
Baker,Ron,31,G,6'4",220,3/30/1993
Baldwin IV,Wade,4,G,6'4",202,3/29/1996
Barbosa,Leandro,19,SG,6'3",194,11/28/1982
Barea,J.J.,5,PG,6'0",185,6/26/1984
Barnes,Harrison,40,F,6'8",225,5/30/1992
Barnes,Matt,22,SF,6'7",226,3/9/1980
Barton,Will,5,SG,6'6",175,1/6/1991
Bass,Brandon,2,PF,6'8",250,4/30/1985
Batum,Nicolas,5,SF,6'8",200,12/14/1988
Bayless,Jerryd,19,SG,6'3",200,8/20/1988
Baynes,Aron,12,C,6'10",260,12/9/1986
Bazemore,Kent,24,SF,6'5",201,7/1/1989
Beal,Bradley,3,SG,6'5",207,6/28/1993
Beasley,Malik,25,G,6'5",196,11/26/1996
Beasley,Michael,9,F,6'10",235,1/9/1989
Belinelli,Marco,33,SG,6'5",215,3/25/1986
Bembry,DeAndre',95,F,6'6",210,7/4/1994
Bender,Dragan,35,F,7'1",225,11/17/1997
Bennett,Anthony,13,PF,6'8",245,3/14/1993
Bentil,Ben,,PF,6'8",229,3/29/1995
Bertans,Davis,42,F,6'10",210,11/12/1992
Beverley,Patrick,2,PG,6'1",185,7/12/1988
Biyombo,Bismack,18,C,6'9",255,8/28/1992
Bjelica,Nemanja,88,PF,6'10",240,5/9/1988
Black,Tarik,28,C,6'9",250,11/22/1991
Bledsoe,Eric,2,PG,6'1",190,12/9/1989
Bogdanovic,Bojan,44,SF,6'8",216,4/17/1989
Bogut,Andrew,12,C,7'0",260,11/27/1984
Bolomboy,Joel,21,F,6'9",235,1/28/1994
Booker,Devin,1,SG,6'6",206,10/30/1996
Booker,Trevor,35,PF,6'8",228,11/25/1987
Bosh,Chris,1,PF,6'11",235,3/24/1984
Bradley,Avery,0,SG,6'2",180,11/26/1990
Brewer,Corey,33,SF,6'9",186,3/4/1986
Brogdon,Malcolm,13,G,6'5",215,12/11/1992
Brooks,Aaron,10,PG,6'0",185,1/14/1985
Brown,Anthony,21,SF,6'7",210,10/10/1992
Brown,Bobby,8,G,6'2",175,9/24/1984
Brown,Jaylen,7,SF,6'7",225,8/24/1996
Brussino,Nicolas,9,F,6'8",215,3/2/1993
Bryant,Kobe,24,SF,6'6",212,8/22/1978
Bullock,Reggie,25,SF,6'7",205,3/16/1991
Burke,Trey,31,PG,6'1",185,11/12/1992
Burks,Alec,10,SG,6'6",214,7/20/1991
Butler,Caron,31,SF,6'7",228,3/13/1980
Butler,Jimmy,21,SG,6'7",220,9/14/1989
Caboclo,Bruno,20,SF,6'9",205,9/21/1995
Calderon,Jose,29,PG,6'3",210,9/27/1981
Caldwell-Pope,Kentavious,5,SG,6'5",205,2/18/1993
Canaan,Isaiah,0,SG,6'0",201,5/21/1991
Capela,Clint,15,C,6'10",240,5/18/1994
Carroll,DeMarre,5,SF,6'8",212,7/27/1986
Carter,Vince,15,SG,6'6",220,1/26/1977
Carter-Williams,Michael,7,PG,6'6",190,10/10/1991
Casspi,Omri,18,SF,6'9",225,6/21/1988
Cauley-Stein,Willie,0,C,7'0",240,8/18/1993
Chandler,Tyson,4,C,7'1",240,10/2/1982
Chandler,Wilson,21,F,6'8",225,5/10/1987
Chriss,Marquese,,F,6'10",233,7/2/1997
Christmas,Rakeem,25,PF,6'9",250,12/1/1991
Christon,Semaj,6,G,6'3",190,11/1/1992
Clark,Ian,21,SG,6'3",175,3/7/1991
